127.0.0.1 - - [05/Sep/2024:17:56:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:56:31 +0530] "GET /DynamicWebProject/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:56:46 +0530] "GET /DynamicWebProject/first.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:57:02 +0530] "GET /DynamicWebProject/First.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:57:03 +0530] "GET /DynamicWebProject/First.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:57:15 +0530] "GET /DynamicWebProject/First.jsp?firstName=aryan&lastName= HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:57:21 +0530] "GET /DynamicWebProject/First.jsp?firstName=&lastName= HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [05/Sep/2024:17:57:32 +0530] "GET /DynamicWebProject/First.jsp?firstName=aryan&lastName=shrivastav HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:04:04 +0530] "GET /DynamicWebProject/First.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:04:18 +0530] "GET /DynamicWebProject/Second.java?firstName=chutiya&lastName=land HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:06:10 +0530] "GET /DynamicWebProject/First.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:06:15 +0530] "GET /DynamicWebProject/Second.java?firstName=chutiya&lastName=land HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:06:43 +0530] "GET /DynamicWebProject/Second.java?firstName=chutiya&lastName=land HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:07:13 +0530] "GET /DynamicWebProject/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:07:24 +0530] "GET /DynamicWebProject/First.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:08:43 +0530] "GET /DynamicWebProject/First.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [05/Sep/2024:18:09:00 +0530] "GET /DynamicWebProject/Second.jsp?firstName=chim+&lastName=tapak+dam+dam HTTP/1.1" 200 157
